Brands,Model,Price,money_off,discount,Internal Storage,Solid State Storage,Display,Shop,Shop Type,Video Memory,JingDong,href,used,Display_type,Processor,Version,Touch control,Screen size,Sale,Favorable rate
华为,MateBook13,5988,,,16G,512G,MX250,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100011177180.html,0,0,i5,十代,1,13,4500,95
机械革命,S2,3999,,,8G,512G,MX350,机械革命京东自营官方旗舰店,1, ,0,//item.jd.com/100011606000.html,0,0,i5,十代,0,14,2300,92
联想,ThinkBook15,5099,,,8G,512G, ,ThinkPad京东自营旗舰店,1,2G,1,//item.jd.com/100006392247.html,0,1,i5,十代,0,15.6,2400,93
联想,拯救者Y7000,6799,,,16G,512G,GTX1650,联想京东自营旗舰店,1, ,0,//item.jd.com/100012885244.html,0,0,i7,十代,0,15.6,3300,99
机械革命,S1,3199,,,8G,512G, ,机械革命京东自营官方旗舰店,1, ,1,//item.jd.com/100011088800.html,0,0,R5, ,0,14,1900,92
华硕,Redolbook14,3999,,,8G,512G,MX330,华硕京东自营官方旗舰店,1,2G,0,//item.jd.com/100007204769.html,0,1,i5, ,0,,400,86
戴尔,Precision3550,7899,,,8G,, ,戴尔商用旗舰店,0,2G,0,//item.jd.com/69192830845.html,0,1,, ,0,15.6,2,100
小米,,4699,2000,100,8G,512G,MX250,小米京东自营旗舰店,1,2G,0,//item.jd.com/100005886932.html,0,1,i5, ,0,13.3,8800,92
荣耀,MagicBookPro,3999,,,8G,512G, ,荣耀京东自营旗舰店,1, ,0,//item.jd.com/100007934914.html,0,0,R5, ,0,16.1,10000,93
惠普,战66,6299,,,8G,512G,MX250,惠普京东自营官方旗舰店,1,2G,1,//item.jd.com/100005217591.html,0,0,i7,三代,0,14,9700,93
联想,S740,5499,,,16G,512G,MX250,联想京东自营旗舰店,1, ,0,//item.jd.com/100011240210.html,0,1,i5,十代,0,14,3000,93
机械革命,Z3Air,6269,,,16G,512G,GTX1650,机械革命京东自营官方旗舰店,1, ,1,//item.jd.com/100012177990.html,0,0,i7,十代,0,15.6,2900,93
联想,扬天V330,3299,,,8G,256G, ,联想朗通金牌专营店,0, ,0,//item.jd.com/31839790414.html,0,0,R5, ,0,14,6900,99
惠普,战66,4599,,,16G,512G, ,惠普京东自营官方旗舰店,1, ,0,//item.jd.com/100013320604.html,0,0,R5,三代,0,14,200,99
荣耀,MagicBookPro,4899,,,16G,512G, ,荣耀京东自营旗舰店,1, ,1,//item.jd.com/100011256976.html,0,0,R7, ,0,16.1,9300,91
联想,小新Air14,3399,3499,300,8G,512G, ,联想率秀图新授权专卖店,0, ,0,//item.jd.com/57773460021.html,0,0,R5, ,0,,2800,97
机械革命,X3-S,7589,,,16G,512G, ,机械革命京东自营官方旗舰店,1, ,1,//item.jd.com/100006690593.html,0,0,i7, ,0,17.3,4900,93
华为,MateBookD,4299,,,16G,512G, ,华为兴汇聚专卖店,0, ,0,//item.jd.com/61095480979.html,0,2,R5, ,1,,2800,99
宏碁,暗影骑士·擎,7899,,,16G,1024G, ,宏碁京东自营旗舰店,1,6G,0,//item.jd.com/100013208330.html,0,1,i5, ,0,,100,100
联想,S550,3799,,,8G,512G, ,联想扬天京东自营旗舰店,1, ,1,//item.jd.com/100010880906.html,0,0,R5, ,0,14,10000,93
戴尔,灵越7000-7591,6099,,,8G,512G,GTX1650,戴尔京东自营官方旗舰店,1, ,1,//item.jd.com/100005625380.html,0,0,i5,九代,0,15.6,10000,92
华硕,灵耀X2,9999,,,16G,1024G, ,华硕京东自营官方旗舰店,1, ,0,//item.jd.com/100012443348.html,0,1,i7,十代,1,14,500,98
小米,网课,6699,,,16G,1024G,MX250,小米京东自营旗舰店,1,2G,0,//item.jd.com/100009430044.html,0,1,i7,十代,0,15.6,5900,90
联想,X395,3999,,,8G,256G, ,ThinkPad京东自营旗舰店,1, ,1,//item.jd.com/100007317098.html,0,0,R5, ,0,13.3,7000,93
惠普,星14,3999,,,16G,512G, ,惠普京东自营官方旗舰店,1, ,0,//item.jd.com/100006302835.html,0,0,R5, ,0,14,3700,96
联想,威6,4999,,,16G,512G, ,联想扬天京东自营旗舰店,1,2G,0,//item.jd.com/100006472357.html,0,1,i5,十代,0,14,2400,93
联想,小新Pro13,4566,,,16G,512G, ,联想京东自营官方旗舰店,1, ,0,//item.jd.com/60220113212.html,0,0,R5, ,0,,10000,93
联想,E480,2999,,,4G,1024G, ,ThinkPad京东自营旗舰店,1, ,1,//item.jd.com/100012720994.html,0,0,i3, ,0,14,300,80
惠普,战66,3899,,,8G,256G, ,惠普京东自营官方旗舰店,1, ,0,//item.jd.com/100012583174.html,0,0,R5,三代,0,14,800,97
荣耀,MagicBook14,4999,,,16G,512G,MX250,荣耀京东自营旗舰店,1, ,0,//item.jd.com/100010816672.html,0,0,i5,十代,0,14,4400,93
惠普,战66,5199,,,8G,512G,MX250,惠普京东自营官方旗舰店,1,2G,0,//item.jd.com/100005217597.html,0,0,i5,三代,0,14,10000,94
联想,Y9000X,7959,200,10,16G,1024G, ,联想京东自营旗舰店,1, ,1,//item.jd.com/100009083152.html,0,0,i7, ,0,15.6,6400,94
联想,小新Air13,4199,3000,200,16G,512G, ,联想京东自营官方旗舰店,1, ,0,//item.jd.com/55983367371.html,0,0,i5,十代,0,13.3,1500,97
华为,MateBookD,5388,,,16G,512G, ,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100010903938.html,0,1,i5, ,0,,1600,91
